Motorola RAZR V3M,Older Phone,12/6/2016,$5.00,-,$19.07,$2.60,$1.53,$9.94,A2122
Samsung SGH-A817,Older Phone,12/6/2016,$6.00,-,$21.98,$2.60,$1.76,$11.62,A2123
Blackberry 9930,Older Phone,12/6/2016,$12.00,1/7/2017,$32.91,$5.75,$2.63,$12.53,A2124
Sony Ericsson W580,Older Phone,12/6/2016,$5.00,1/8/2017,$34.56,$3.55,$2.76,$23.25,A2125
Sony Ericsson W580,Older Phone,12/6/2016,$5.00,1/16/2017,,,$0.00,($5.00),A2126
Casio Rock,Older Phone,12/6/2016,$5.00,-,$28.78,$2.60,$2.30,$18.88,A2127
Samsung SGH-T669,Older Phone,12/6/2016,$6.00,-,$18.10,$2.60,$1.45,$8.05,A2128
Pantech P6010,Older Phone,12/6/2016,$6.00,2/16/2017,$19.07,$2.60,$1.53,$8.94,A2129
Samsung SGH-A687,Older Phone,12/6/2016,$5.00,2/18/2017,$19.07,$2.60,$1.53,$9.94,A2130
Casio Rock,Older Phone,12/6/2016,$5.00,-,$28.78,$2.60,$2.30,$18.88,A2131
Casio Rock,Older Phone,12/6/2016,$5.00,-,$28.78,$2.60,$2.30,$18.88,A2132
Motorola RAZR V3M,Older Phone,12/6/2016,$5.00,2/24/2017,$32.62,$3.55,$2.61,$21.46,A2133
Motorola RAZR V3M,Older Phone,12/6/2016,$5.00,2/24/2017,,,$0.00,($5.00),A2134
Motorola RAZR V3M,Older Phone,12/6/2016,$5.00,2/24/2017,$19.07,$2.60,$1.53,$9.94,A2135
Samsung SGH-T669,Older Phone,12/6/2016,$6.00,12/25/2016,$18.10,$2.60,$1.45,$8.05,A2136
Blackberry 9930,Older Phone,12/6/2016,$12.00,1/1/2017,$19.83,$2.60,$1.59,$3.64,A2137
SCH-i547 RUGBY PRO,Older Phone,12/6/2016,$25.00,1/16/2017,$57.91,$2.60,$4.63,$25.68,A2138
Samsung SGH-A927,Older Phone,12/6/2016,$5.00,1/20/2017,$13.25,$2.60,$1.06,$4.59,A2139
Droid A855,Older Phone,12/6/2016,$5.00,-,$17.13,$2.60,$1.37,$8.16,A2140
Casio Rock,Older Phone,12/6/2016,$5.00,-,$18.10,$2.60,$1.45,$9.05,A2141
LG A340,Older Phone,12/6/2016,$5.00,2/3/2017,$21.01,$2.60,$1.68,$11.73,A2142
Motorola W385,Older Phone,12/6/2016,$5.00,2/8/2017,$11.30,$2.60,$0.90,$2.80,A2143
Samsung SGH-T669,Older Phone,12/6/2016,$6.00,-,$120.25,$11.95,$9.62,$92.68,A2144
Samsung SGH-T669,Older Phone,12/6/2016,$6.00,-,,,$0.00,($6.00),A2145
Samsung SGH-T669,Older Phone,12/6/2016,$6.00,-,,,$0.00,($6.00),A2146
Samsung SGH-T669,Older Phone,12/6/2016,$6.00,-,,,$0.00,($6.00),A2147
